ID,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,Nb_Ventes,PrixMoyen_M2,LATITUDE,LONGITUDE
COMMUNE_0000000009754981,33332,33,75,200070092.0,PORCHERES,896,19.0,1301.0,Null,Null
COMMUNE_0000000009755646,33200,33,75,243300316.0,HAILLAN,10886,125.0,3486.0,Null,Null
COMMUNE_0000000009756767,33453,33,75,200044394.0,SAINT MICHEL DE LAPUJADE,224,2.0,895.0,Null,Null
COMMUNE_0000000009755837,33467,33,75,243301371.0,SAINT QUENTIN DE CAPLONG,245,2.0,1618.0,Null,Null
COMMUNE_0000000009754985,33138,33,75,200070092.0,COUTRAS,8576,153.0,1517.0,Null,Null
COMMUNE_0000000009754791,33325,33,75,200023794.0,PLASSAC,860,10.0,1651.0,Null,Null
COMMUNE_0000000009755846,33468,33,75,243301454.0,SAINTE RADEGONDE,468,4.0,1201.0,Null,Null
COMMUNE_0000000009754992,33062,33,75,200070092.0,BONZAC,750,8.0,1622.0,Null,Null
COMMUNE_0000000009756356,33009,33,75,243300563.0,ARCACHON,11121,605.0,6421.0,Null,Null
COMMUNE_0000000009756076,33269,33,75,243301371.0,MARGUERON,380,1.0,688.0,Null,Null
COMMUNE_0000000009756792,33438,33,75,200043974.0,SAINT MAIXANT,1894,22.0,2097.0,Null,Null
COMMUNE_0000000009754980,33478,33,75,200070092.0,SAINT SEURIN SUR L ISLE,3160,53.0,1432.0,Null,Null
COMMUNE_0000000009756344,33040,33,75,200069581.0,BEGUEY,1181,18.0,1501.0,44.6442931,-0.3227988
COMMUNE_0000000009754772,33532,33,75,200070092.0,TIZAC DE LAPOUYADE,482,4.0,1918.0,45.07325,-0.30607
COMMUNE_0000000009756796,33504,33,75,200043974.0,SAUTERNES,783,5.0,1552.0,44.5327805,-0.341386
COMMUNE_0000000009755008,33067,33,75,243301223.0,BOURG,2230,27.0,1406.0,45.0394689,-0.5596107
COMMUNE_0000000009757377,33046,33,75,200043982.0,BERNOS BEAULAC,1124,14.0,1417.0,44.3718493,-0.2424157
COMMUNE_0000000009756768,33221,33,75,200044394.0,LAMOTHE LANDERRON,1204,15.0,1122.0,44.55737,0.06059
COMMUNE_0000000009756530,33289,33,75,200044394.0,MONSEGUR,1542,21.0,1177.0,44.6505592,0.0803607
COMMUNE_0000000009756316,33446,33,75,200069599.0,SAINT MARTIN DU PUY,190,2.0,987.0,44.6709282,-0.0255405
COMMUNE_0000000009756568,33527,33,75,243300563.0,TEICH,7730,107.0,3114.0,47.4091816,16.4289877
COMMUNE_0000000009753702,33538,33,75,200070720.0,VALEYRAC,552,7.0,1686.0,45.3960861,-0.8947997
COMMUNE_0000000009755848,33344,33,75,243301454.0,PUJOLS,544,14.0,1697.0,44.8082356,-0.0312502
COMMUNE_0000000009755415,33096,33,75,243300316.0,CARBON BLANC,8112,108.0,3162.0,44.8937722,-0.50503
COMMUNE_0000000009756773,33066,33,75,200044394.0,BOURDELLES,94,,,44.55302,-0.00092
COMMUNE_0000000009756102,33201,33,75,243301215.0,HAUX,827,18.0,2136.0,43.0781938,-0.8482843
COMMUNE_0000000009755209,33003,33,75,243300316.0,AMBARES ET LAGRAVE,16094,178.0,2554.0,44.9259011,-0.4881846
COMMUNE_0000000009754991,33387,33,75,200070092.0,SAINT CIERS D ABZAC,1390,15.0,1543.0,45.0307655,-0.2780296
COMMUNE_0000000009755634,33028,33,75,243301215.0,BARON,1155,8.0,2650.0,49.1734779,2.731587
COMMUNE_0000000009756341,33308,33,75,200069581.0,OMET,296,3.0,2733.0,44.6522353,-0.2806571
COMMUNE_0000000009757731,33095,33,75,200043982.0,CAPTIEUX,1275,27.0,1293.0,44.2920456,-0.2614831
COMMUNE_0000000009755014,33022,33,75,243301389.0,AVENSAN,2904,56.0,2407.0,45.036048,-0.7575952
COMMUNE_0000000009757009,33202,33,75,200043974.0,HOSTENS,1329,19.0,2249.0,44.493057,-0.638056
COMMUNE_0000000009755645,33281,33,75,243300316.0,MERIGNAC,70317,1201.0,3426.0,44.842168,-0.6469022
COMMUNE_0000000009755405,33015,33,75,200070092.0,ARVEYRES,1947,21.0,2463.0,44.8825461,-0.2866406
COMMUNE_0000000009753931,33476,33,75,200069995.0,SAINT SEURIN DE CADOURNE,713,10.0,1108.0,45.2862191,-0.7892639
COMMUNE_0000000009756803,33197,33,75,200069581.0,GUILLOS,450,8.0,1770.0,44.5480058,-0.5028461
COMMUNE_0000000009754786,33388,33,75,200023794.0,SAINT CIERS DE CANESSE,822,11.0,1644.0,45.0832544,-0.6089962
COMMUNE_0000000009756994,33074,33,75,200044394.0,BROUQUEYRAN,197,1.0,2543.0,44.48325,-0.17591
COMMUNE_0000000009756784,33457,33,75,200043974.0,SAINT PARDON DE CONQUES,576,7.0,1542.0,44.5556647,-0.1886653
COMMUNE_0000000009755186,33261,33,75,200035533.0,LUSSAC,1269,18.0,2155.0,44.9506583,-0.0963446
COMMUNE_0000000009756563,33030,33,75,200069581.0,BARSAC,2059,44.0,1505.0,44.6043291,-0.323435
COMMUNE_0000000009757006,33310,33,75,200043974.0,ORIGNE,181,3.0,1234.0,44.4924929,-0.5019295
COMMUNE_0000000009756788,33106,33,75,200043974.0,CASTETS ET CASTILLON,1457,24.0,1390.0,44.5545292,-0.12784292808533512
COMMUNE_0000000009756799,33164,33,75,200043974.0,FARGUES,1622,21.0,1848.0,44.535943,-0.2963962
COMMUNE_0000000009757543,33239,33,75,200043982.0,LERM ET MUSSET,487,6.0,1393.0,44.3277776,-0.1573881
COMMUNE_0000000009755886,33522,33,75,243300316.0,TALENCE,42712,732.0,3991.0,44.8088438,-0.5879629
COMMUNE_0000000009752962,33544,33,75,200070720.0,VERDON SUR MER,1343,76.0,1680.0,45.547543,-1.0622993
COMMUNE_0000000009754575,33416,33,75,200023794.0,SAINT GIRONS D AIGUEVIVES,960,8.0,1196.0,45.1401281,-0.5416993
COMMUNE_0000000009756774,33352,33,75,200044394.0,REOLE,4265,54.0,1206.0,44.5818395,-0.0391639
COMMUNE_0000000009756087,33278,33,75,200069599.0,MAURIAC,252,6.0,1346.0,44.7450537,-0.0289804
COMMUNE_0000000009754776,33123,33,75,243301181.0,CEZAC,2535,42.0,1659.0,45.09053,-0.42033
COMMUNE_0000000009756121,33555,33,75,243301504.0,MARCHEPRIME,4663,58.0,2935.0,44.6920229,-0.8534089
COMMUNE_0000000009756112,33349,33,75,243301439.0,QUINSAC,2174,29.0,2561.0,45.4287117,0.7046508
COMMUNE_0000000009755875,33140,33,75,243301215.0,CREON,4637,101.0,2314.0,44.7746764,-0.3482858
COMMUNE_0000000009755422,33528,33,75,243301389.0,TEMPLE,605,8.0,2210.0,31.098207,-97.3427847
COMMUNE_0000000009757370,33276,33,75,200043982.0,MASSEILLES,148,3.0,1217.0,44.40646,-0.05598
COMMUNE_0000000009757374,33144,33,75,200043982.0,CUDOS,814,9.0,1400.0,44.3884376,-0.2198757
COMMUNE_0000000009757378,33329,33,75,200043974.0,POMPEJAC,258,1.0,2746.0,44.40236,-0.29201
COMMUNE_0000000009753461,33208,33,75,200070720.0,JAU DIGNAC ET LOIRAC,986,22.0,1346.0,45.4079954,-0.9583826
COMMUNE_0000000009754161,33351,33,75,243300811.0,REIGNAC,1555,16.0,1237.0,45.2341304,-0.5076743
COMMUNE_0000000009754572,33473,33,75,243301181.0,SAINT SAVIN,3193,34.0,1449.0,45.6273495,5.311309
COMMUNE_0000000009755644,33063,33,75,243300316.0,BORDEAUX,252040,4826.0,4627.0,44.841225,-0.5800364
COMMUNE_0000000009757545,33155,33,75,200043982.0,ESCAUDES,153,1.0,1296.0,44.30861,-0.2025
COMMUNE_0000000009755641,33065,33,75,243300316.0,BOULIAC,3552,39.0,3436.0,44.8140115,-0.5036626
COMMUNE_0000000009756553,33543,33,75,200043974.0,VERDELAIS,1034,13.0,1620.0,44.5885272,-0.2459311
COMMUNE_0000000009756331,33215,33,75,200069599.0,LADAUX,196,1.0,375.0,44.70018,-0.245
COMMUNE_0000000009755619,33390,33,75,243301454.0,SAINTE COLOMBE,420,6.0,1596.0,49.7975889,0.7589207
COMMUNE_0000000009754372,33159,33,75,243300811.0,ETAULIERS,1480,24.0,1149.0,45.2248027,-0.5735685
COMMUNE_0000000009755642,33013,33,75,243300316.0,ARTIGUES PRES BORDEAUX,8638,106.0,3060.0,44.8602738,-0.4935005
COMMUNE_0000000009757005,33237,33,75,200043974.0,LEOGEATS,802,11.0,1560.0,44.5110101,-0.3660805
COMMUNE_0000000009756996,33048,33,75,200044394.0,BERTHEZ,266,1.0,764.0,44.4844,-0.1357
COMMUNE_0000000009754378,33471,33,75,200069995.0,SAINT SAUVEUR,1311,21.0,1769.0,49.3185754,2.7818415
COMMUNE_0000000009756556,33392,33,75,200069581.0,SAINTE CROIX DU MONT,901,12.0,1559.0,44.593203,-0.282474
COMMUNE_0000000009754570,33233,33,75,243301181.0,LARUSCADE,2706,48.0,1633.0,45.10735,-0.34118
COMMUNE_0000000009755841,33377,33,75,243301371.0,SAINT AVIT DE SOULEGE,79,,,44.812565,0.1282199
COMMUNE_0000000009754798,33097,33,75,200070720.0,CARCANS,2401,131.0,3206.0,45.0796259,-1.0439593
COMMUNE_0000000009754771,33230,33,75,200070092.0,LAPOUYADE,504,5.0,1595.0,45.08551,-0.28772
COMMUNE_0000000009755399,33342,33,75,200035533.0,PUISSEGUIN,873,13.0,2577.0,44.9233689,-0.0736703
COMMUNE_0000000009756345,33552,33,75,200069581.0,VIRELADE,1050,8.0,2134.0,44.6656347,-0.3817363
COMMUNE_0000000009756101,33043,33,75,200069599.0,BELLEBAT,245,4.0,1699.0,44.73885,-0.21689
COMMUNE_0000000009757369,33513,33,75,200043982.0,SILLAS,119,4.0,2144.0,44.37387,-0.06176
COMMUNE_0000000009755206,33016,33,75,243301397.0,ASQUES,468,7.0,2012.0,44.9512794,-0.4119877
COMMUNE_0000000009756084,33020,33,75,243301371.0,AURIOLLES,139,,,44.74087,0.04974
COMMUNE_0000000009755834,33360,33,75,243301371.0,ROQUILLE,338,1.0,1026.0,47.3106157,0.6801222
COMMUNE_0000000009755839,33242,33,75,243301371.0,LEVES ET THOUMEYRAGUES,565,5.0,1758.0,44.7927503,0.1731893
COMMUNE_0000000009754790,33517,33,75,243301447.0,SOUSSANS,1624,27.0,2083.0,45.0560804,-0.699607
COMMUNE_0000000009754989,33445,33,75,200070092.0,SAINT MARTIN DU BOIS,856,7.0,1519.0,45.0245948,-0.2670373
COMMUNE_0000000009756787,33111,33,75,200044394.0,CAUDROT,1211,23.0,1205.0,44.5769804,-0.143078
COMMUNE_0000000009755195,33052,33,75,200070092.0,BILLAUX,1212,20.0,1791.0,44.9517222,-0.237159
COMMUNE_0000000009757008,33251,33,75,200043974.0,LOUCHATS,726,7.0,1864.0,44.51253,-0.566898
COMMUNE_0000000009754795,33297,33,75,243301389.0,MOULIS EN MEDOC,1806,26.0,1911.0,45.0564852,-0.7736381
COMMUNE_0000000009756995,33072,33,75,200044394.0,BRANNENS,237,3.0,2041.0,44.51995,-0.15279
COMMUNE_0000000009755411,33293,33,75,243301249.0,MONTUSSAN,3136,32.0,2527.0,44.8816561,-0.4286074
COMMUNE_0000000009755182,33347,33,75,200070092.0,PUYNORMAND,302,4.0,1362.0,44.9822919,-0.0011434
COMMUNE_0000000009756098,33025,33,75,200069599.0,BAIGNEAUX,428,6.0,1885.0,44.7227623,-0.1929629
COMMUNE_0000000009757207,33484,33,75,200043974.0,SAINT SYMPHORIEN,1840,21.0,1890.0,49.3140652,0.4670513
COMMUNE_0000000009755895,33236,33,75,243301504.0,LEGE CAP FERRET,8303,229.0,7516.0,44.7951052,-1.1472098
COMMUNE_0000000009754583,33441,33,75,200023794.0,SAINT MARTIN LACAUSSADE,1086,20.0,1179.0,45.14657,-0.64283
COMMUNE_0000000009754997,33266,33,75,243301181.0,MARCENAIS,750,7.0,2184.0,45.0579671,-0.3369875
COMMUNE_0000000009757371,33271,33,75,200043982.0,MARIONS,199,2.0,1345.0,44.38296,-0.09114
COMMUNE_0000000009754571,33492,33,75,243301181.0,SAINT YZAN DE SOUDIAC,2369,42.0,1589.0,45.1399863,-0.4107248
COMMUNE_0000000009753936,33177,33,75,200069995.0,GAILLAN EN MEDOC,2295,30.0,1675.0,45.3234694,-0.9578932
COMMUNE_0000000009756527,33491,33,75,200044394.0,SAINT VIVIEN DE MONSEGUR,358,5.0,1596.0,44.6156094,0.1072804
COMMUNE_0000000009754987,33362,33,75,200070092.0,SABLONS,1358,15.0,1614.0,45.025378,-0.1941431
COMMUNE_0000000009756564,33452,33,75,200069581.0,SAINT MICHEL DE RIEUFRET,748,7.0,2213.0,44.6218048,-0.4326281
COMMUNE_0000000009753708,33540,33,75,200070720.0,VENDAYS MONTALIVET,2464,72.0,2403.0,45.3555884,-1.0593641
COMMUNE_0000000009754582,33047,33,75,200023794.0,BERSON,1791,16.0,1437.0,45.1076383,-0.5860166
