ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2
COMMUNE_0000000009760754;32216;32;76;200072320;LOURTIES MONBRUN;152;NA;NA
COMMUNE_0000000009756744;47033;47;75;200036523;BOUDY DE BEAUREGARD;412;4;1421
COMMUNE_0000000009760252;32009;32;76;243200425;ARMOUS ET CAU;86;NA;NA
COMMUNE_0000000009754403;38225;38;84;243801024;AUTRANS MEAUDRE EN VERCORS;2969;47;2667
COMMUNE_0000000009727903;62890;62;32;200044030;WILLEMAN;182;3;967
COMMUNE_0000000009732421;8018;8;44;240800920;ARDEUIL ET MONTFAUXELLES;70;2;945
COMMUNE_0000000009759331;32113;32;76;243200409;CRAVENCERES;92;NA;NA
COMMUNE_0000000009741242;10319;10;44;241000447;RIGNY LE FERRON;366;9;678
COMMUNE_0000000009751252;42070;42;84;244200630;CORDELLE;903;18;1346
COMMUNE_0000000009758465;6097;6;93;200039931;PIERREFEU;315;1;2114
COMMUNE_0000000009762857;31046;31;76;200072635;BAREN;12;NA;NA
COMMUNE_0000000009749135;71524;71;27;200040293;SIVIGNON;167;2;1598
COMMUNE_0000000009740248;53245;53;52;245300355;SAINT PIERRE DES LANDES;942;16;1014
COMMUNE_0000000009738405;78269;78;11;200073344;GAZERAN;1283;16;3202
COMMUNE_0000000009733716;50181;50;28;200067031;FEUGERES;340;3;1023
COMMUNE_0000000009755238;38342;38;84;200030658;ROISSARD;300;1;2026
COMMUNE_0000000009752658;16388;16;75;200071827;TROIS PALIS;953;10;1647
COMMUNE_0000000009737191;50126;50;28;200069425;CHAVOY;127;2;1587
COMMUNE_0000000009746928;25541;25;27;242504488;SEPTFONTAINES;367;NA;NA
COMMUNE_0000000009733847;55232;55;44;245501176;HARVILLE;118;NA;NA
COMMUNE_0000000009760450;31547;31;76;200068641;SEYSSES;8787;62;2193
COMMUNE_0000000009754981;33332;33;75;200070092;PORCHERES;896;19;1301
COMMUNE_0000000009732277;14107;14;28;200066801;BRICQUEVILLE;180;NA;NA
COMMUNE_0000000009741819;88311;88;44;200068757;MONTMOTIER;48;1;610
COMMUNE_0000000009731260;55364;55;44;200066132;MOUZAY;705;2;610
COMMUNE_0000000009757703;47075;47;75;200023307;CROIX BLANCHE;1013;14;1558
COMMUNE_0000000009747965;18063;18;24;200027076;CHAVANNES;175;NA;NA
COMMUNE_0000000009757075;7110;7;84;240700302;JOYEUSE;1709;15;2008
COMMUNE_0000000009729624;2535;2;32;240200444;NAMPCELLES LA COUR;121;NA;NA
COMMUNE_0000000009760544;64355;64;75;200067239;LOUVIGNY;140;NA;NA
COMMUNE_0000000009743257;41123;41;24;200055481;MARCHENOIR;649;10;892
COMMUNE_0000000009748315;71505;71;27;247104094;SAVIANGES;75;NA;NA
COMMUNE_0000000009732834;57204;57;44;200067957;FAILLY;501;NA;NA
COMMUNE_0000000009755646;33200;33;75;243300316;HAILLAN;10886;125;3486
COMMUNE_0000000009728493;62840;62;32;200035442;VELU;136;1;714
COMMUNE_0000000009750355;86159;86;75;200070043;MILLAC;554;8;799
COMMUNE_0000000009747841;39085;39;27;200069623;CERNIEBAUD;87;NA;NA
COMMUNE_0000000009754759;24032;24;75;200040095;BEAURONNE;368;3;800
COMMUNE_0000000009758014;82113;82;76;248200057;MOLIERES;1170;10;1327
COMMUNE_0000000009746891;49195;49;52;200071678;MAZIERES EN MAUGES;1154;9;1794
COMMUNE_0000000009750243;69242;69;84;200067817;TAPONAS;972;7;2551
COMMUNE_0000000009755223;38489;38;84;200040657;SIEVOZ;138;1;1202
COMMUNE_0000000009727899;62396;62;32;200069672;GUINECOURT;18;NA;NA
COMMUNE_0000000009758795;12042;12;76;200067155;CALMELS ET LE VIALA;210;NA;NA
COMMUNE_0000000009742759;70295;70;27;247000854;LANTERNE ET LES ARMONTS;210;2;2371
COMMUNE_0000000009757472;12202;12;76;241200187;RODEZ;23739;122;1684
COMMUNE_0000000009732034;2091;2;32;240200501;BLANZY LES FISMES;112;NA;NA
COMMUNE_0000000009750082;23143;23;75;200067510;NOTH;507;6;874
COMMUNE_0000000009741908;45113;45;24;200067668;COURTEMAUX;265;5;813
COMMUNE_0000000009733715;50232;50;28;200067023;HAUTEVILLE LA GUICHARD;469;3;882
COMMUNE_0000000009752093;63219;63;84;200069169;MAZAYE;727;3;1292
COMMUNE_0000000009759265;81220;81;76;200066124;RABASTENS;5565;63;1846
COMMUNE_0000000009736326;57382;57;44;200068146;LANGATTE;558;NA;NA
COMMUNE_0000000009733095;27529;27;28;200035665;SAINT CYR LA CAMPAGNE;425;NA;NA
COMMUNE_0000000009730153;76268;76;28;200084952;FONGUEUSEMARE;190;3;1561
COMMUNE_0000000009740042;52065;52;44;200044253;BOUZANCOURT;65;NA;NA
COMMUNE_0000000009757626;30159;30;76;200066918;MARTINET;778;11;1456
COMMUNE_0000000009731177;50341;50;28;200067205;MONTEBOURG;2085;19;1402
COMMUNE_0000000009737726;67108;67;44;246701064;DUPPIGHEIM;1587;NA;NA
COMMUNE_0000000009762320;11207;11;76;200071926;LOUPIA;241;2;1473
COMMUNE_0000000009740912;77333;77;11;200023240;NEMOURS;13172;142;1988
COMMUNE_0000000009759313;32329;32;76;243200391;PRECHAC;179;NA;NA
COMMUNE_0000000009728396;80697;80;32;200070951;SAINT ACHEUL;26;NA;NA
COMMUNE_0000000009729945;2306;2;32;200040426;FERTE CHEVRESIS;558;5;791
COMMUNE_0000000009760963;31165;31;76;200068641;EAUNES;6091;47;2168
COMMUNE_0000000009758415;82054;82;76;248200016;ESPALAIS;395;9;1020
COMMUNE_0000000009754258;43148;43;84;200073393;PAULHAGUET;875;1;769
COMMUNE_0000000009735397;55532;55;44;200066140;VAUBECOURT;316;NA;NA
COMMUNE_0000000009734401;51498;51;44;200042703;SAINT MARD SUR AUVE;64;2;1512
COMMUNE_0000000009759084;32457;32;76;243200391;URDENS;288;1;1800
COMMUNE_0000000009733870;55416;55;44;200066116;RARECOURT;215;NA;NA
COMMUNE_0000000009762994;65384;65;76;246500573;SAILHAN;159;1;3903
COMMUNE_0000000009728852;80793;80;32;200071223;VIGNACOURT;2361;25;1546
COMMUNE_0000000009757490;46329;46;76;244600532;VAYLATS;318;1;2000
COMMUNE_0000000009743148;52374;52;44;200070332;PAILLY;285;NA;NA
COMMUNE_0000000009758075;4202;4;93;200068625;SAUSSES;124;6;1844
COMMUNE_0000000009737907;77031;77;11;200072874;BERNAY VILBERT;828;11;3532
COMMUNE_0000000009742619;72125;72;52;200072692;ECORPAIN;295;5;1005
COMMUNE_0000000009747048;18286;18;24;241800374;VILLEQUIERS;483;7;979
COMMUNE_0000000009738762;10207;10;44;200070126;LONGUEVILLE SUR AUBE;124;NA;NA
COMMUNE_0000000009731545;57666;57;44;245701362;TERVILLE;6929;NA;NA
